ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TIPO,TOTAL_ELEM,CAPACIDAD_MAX
17527,Área Infantil,116,BUENAVISTA,11,CARABANCHEL,OPERATIVO,435290.18,4468065.52,ETRS89,40.3606476,-3.7621048,CALLE,ATAPUERCA,8,28054.0,"ATAPUERCA, 000008",31009415.0,2004-01-01 00:00:00.0,11156,AE21,Infantiles,8.0,
17529,Área Infantil,116,BUENAVISTA,11,CARABANCHEL,OPERATIVO,435129.76,4468172.67,ETRS89,40.36160039,-3.76400485,CALLE,PALAU DE LA MUSICA,15,28054.0,"PALAU DE LA MÚSICA, 000015",31006515.0,2004-01-01 00:00:00.0,11158,AE21,Infantiles,4.0,
17531,Área Infantil,113,SAN ISIDRO,11,CARABANCHEL,OPERATIVO,438170.62,4471801.57,ETRS89,40.3945223,-3.72854619,CALLE,SUINTILA,4,28019.0,"SUINTILA, 000004",11072538.0,2005-01-01 00:00:00.0,11161,AE21,Infantiles,14.0,
17533,Área Infantil,112,OPAÑEL,11,CARABANCHEL,OPERATIVO,439217.525,4471459.272,ETRS89,40.39151578,-3.71617858,CALLE,JOSEFA FERNANDEZ BUTERGA,4,28019.0,"JOSEFA FERNÁNDEZ BUTERGA, 000004",20021372.0,2008-01-01 00:00:00.0,11163,AE21,Infantiles,21.0,
18132,Área Infantil,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,444330.32,4479988.4,ETRS89,40.46870816,-3.6566872,CALLE,PINAR DEL REY,54,28033.0,"C · CALLE PINAR DEL REY 49 , ASCENDIENTE 1: 164 ·",11118117.0,2004-01-01 00:00:00.0,16130,AE21,Infantiles,16.0,
18134,Área Infantil,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,444377.62,4483270.166,ETRS89,40.49827497,-3.65641721,AVENIDA,NICETO ALCALA ZAMORA,85,28050.0,"C · CALLE MARIA TUDOR , ASCENDIENTE 1: 166 · VALD",31011057.0,2003-01-01 00:00:00.0,16135,AE21,Infantiles,35.0,
18138,Área Infantil,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,444425.41,4483905.61,ETRS89,40.50400252,-3.65590901,CALLE,VICENTE BLASCO IBAÑEZ,126,28050.0,"C · CALLE VICENTE BLASCO IBAÑEZ , ASCENDIENTE 1:",31011082.0,2006-01-01 00:00:00.0,16141,AE21,Infantiles,12.0,
18140,Área Infantil,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,444841.596,4482582.638,ETRS89,40.49211238,-3.65088217,CALLE,PRINCIPE CARLOS,36,28050.0,"Av · AVENIDA ALCALDE CONDE DE MAYALDE , ASCENDIEN",31017494.0,2001-01-01 00:00:00.0,16143,AE21,Infantiles,27.0,
18142,Área Infantil,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,445236.46,4482142.5,ETRS89,40.48817356,-3.64618493,AVENIDA,NICETO ALCALA ZAMORA,33,28050.0,"C · CALLE NICETO ALCALA ZAMORA 21-23-25 , ASCENDI",31010098.0,2004-01-01 00:00:00.0,16145,AE21,Infantiles,15.0,
18144,Área Infantil,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,444863.94,4481626.59,ETRS89,40.48350134,-3.65053535,CALLE,PINTOR LUCIO MUÑOZ,35,28050.0,"C · CALLE PINTOR LUCIO MUÑOZ 35 , ASCENDIENTE 1:",31000442.0,2004-01-01 00:00:00.0,16147,AE21,Infantiles,8.0,
18146,Área Infantil,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,444152.04,4482228.58,ETRS89,40.48887676,-3.65898738,PLAZA,ALCALDE MORENO TORRES,1 A,28050.0,"C · CALLE VICENTE BLASCO IBAÑEZ , ASCENDIENTE 1:",31034510.0,2003-01-01 00:00:00.0,16149,AE21,Infantiles,10.0,
18148,Área Infantil,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,446287.02,4480097.7,ETRS89,40.46982161,-3.63361631,CALLE,POPAYAN,5,28033.0,"C · CALLE AYACUCHO , ASCENDIENTE 1: 164 · PINAR D",11118665.0,2005-01-01 00:00:00.0,16151,AE21,Infantiles,4.0,
18150,Área Infantil,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,445270.68,4481112.7,ETRS89,40.47889889,-3.64569227,CALLE,SANTA SUSANA,30,28033.0,"C · CALLE SANTA SUSANA 30 , ASCENDIENTE 1: 164 ·",11119443.0,2005-01-01 00:00:00.0,16153,AE21,Infantiles,10.0,
18151,Área Infantil,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,443786.31,4482159.31,ETRS89,40.48822806,-3.66329645,CALLE,OÑA,81,28050.0,"C · CALLE OÑA 81 , ASCENDIENTE 1: 166 · VALDEFUEN",11122410.0,2000-01-01 00:00:00.0,16154,AE21,Infantiles,13.0,
18153,Área Infantil,163,CANILLAS,16,HORTALEZA,OPERATIVO,446865.66,4479317.29,ETRS89,40.46282848,-3.62672552,CALLE,SILVANO,157,28043.0,"C · CALLE SILVANO 157 , ASCENDIENTE 1: 163 · CANI",20065860.0,2001-01-01 00:00:00.0,16157,AE21,Infantiles,13.0,
18155,Área Infantil,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,445600.15,4480246.48,ETRS89,40.4711172,-3.64173114,CALLE,LIBERACION,29,28033.0,"Pq · PARQUE ALFREDO KRAUS , ASCENDIENTE 1: 164 ·",11118574.0,2005-01-01 00:00:00.0,16159,AE21,Infantiles,10.0,
18157,Área Infantil,166,VALDEFUENTES,16,HORTALEZA,OPERATIVO,446356.38,4484245.62,ETRS89,40.50719259,-3.63314924,CALLE,AGATHA CHRISTIE,54,28055.0,C · CALLE CAMINO VIEJO DE HORTALEZA A ALCOBENDAS,20181134.0,2005-01-01 00:00:00.0,16161,AE21,Infantiles,8.0,
